file,section,subcategory,index,bars,time_signature,bpm,tracks,license,notes
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_01_84bpm.mid,A,simple folk guitar arpeggio,1,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_02_87bpm.mid,A,simple folk guitar arpeggio,2,4,4/4,87,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_03_90bpm.mid,A,simple folk guitar arpeggio,3,4,4/4,90,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_04_93bpm.mid,A,simple folk guitar arpeggio,4,4,4/4,93,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_05_96bpm.mid,A,simple folk guitar arpeggio,5,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_06_84bpm.mid,A,simple folk guitar arpeggio,6,4,4/4,84,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_07_87bpm.mid,A,simple folk guitar arpeggio,7,4,4/4,87,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_08_90bpm.mid,A,simple folk guitar arpeggio,8,4,4/4,90,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_09_93bpm.mid,A,simple folk guitar arpeggio,9,4,4/4,93,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/simple_folk_guitar_arpeggio/a_simple_folk_guitar_arpeggio_10_96bpm.mid,A,simple folk guitar arpeggio,10,4,4/4,96,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/soft_pop_piano_arpeggio/a_soft_pop_piano_arpeggio_11_86bpm.mid,A,soft pop piano arpeggio,11,4,4/4,86,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/soft_pop_piano_arpeggio/a_soft_pop_piano_arpeggio_12_90bpm.mid,A,soft pop piano arpeggio,12,4,4/4,90,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/soft_pop_piano_arpeggio/a_soft_pop_piano_arpeggio_13_94bpm.mid,A,soft pop piano arpeggio,13,4,4/4,94,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/soft_pop_piano_arpeggio/a_soft_pop_piano_arpeggio_14_98bpm.mid,A,soft pop piano arpeggio,14,4,4/4,98,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/soft_pop_piano_arpeggio/a_soft_pop_piano_arpeggio_15_86bpm.mid,A,soft pop piano arpeggio,15,4,4/4,86,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/soft_pop_piano_arpeggio/a_soft_pop_piano_arpeggio_16_90bpm.mid,A,soft pop piano arpeggio,16,4,4/4,90,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/soft_pop_piano_arpeggio/a_soft_pop_piano_arpeggio_17_94bpm.mid,A,soft pop piano arpeggio,17,4,4/4,94,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/soft_pop_piano_arpeggio/a_soft_pop_piano_arpeggio_18_98bpm.mid,A,soft pop piano arpeggio,18,4,4/4,98,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/nylon_guitar_arpeggio/a_nylon_guitar_arpeggio_19_82bpm.mid,A,nylon guitar arpeggio,19,4,4/4,82,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/nylon_guitar_arpeggio/a_nylon_guitar_arpeggio_20_86bpm.mid,A,nylon guitar arpeggio,20,4,4/4,86,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
A/nylon_guitar_arpeggio/a_nylon_guitar_arpeggio_21_90bpm.mid,A,nylon guitar arpeggio,21,4,4/4,90,1,"Original generated MIDI; free to use, modify, and redistribute",Simple reference pattern for WebKB/data sonification MIDI phrase library
